generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
53,817.3357,798.3187,696.7069,1009.7117,976.9400,891.9780,704.9008,680.4488,613.9840,829.6021,794.8097,607.5146,1040.8876,979.4674,872.4533
54,817.3357,794.9698,696.7069,1009.7117,984.9995,915.9442,704.9008,682.1722,560.9374,829.6021,798.7032,668.3442,1040.8876,967.2349,790.6044
55,847.2242,793.1816,696.7069,1030.5388,996.0672,925.6484,731.5512,687.2489,542.2163,829.6021,797.0225,668.3442,1040.8876,955.3237,786.5032
56,847.2242,802.8388,696.7069,1030.5388,991.7610,914.0987,731.5512,681.8157,560.9374,829.6021,795.6806,668.3442,1040.8876,961.7137,739.5486
57,847.2242,796.3188,694.2357,1030.5388,992.8224,816.2764,731.5512,699.5244,548.0867,829.6021,810.4681,668.3442,1040.8876,983.4781,829.9376
58,847.2242,818.9037,627.3438,1030.5388,998.8906,763.5492,731.5512,712.7833,560.9374,829.6021,823.6708,690.6256,1040.8876,983.9855,818.6894
59,847.2242,821.8665,696.7069,1030.5388,1004.4104,875.6768,731.5512,703.6693,604.0553,829.6021,823.5162,670.2269,1040.8876,1008.5581,872.4533
60,847.2242,827.2504,694.7638,1030.5388,1012.9026,858.6263,731.5512,712.6139,604.0553,829.6021,817.2318,690.6256,1040.8876,1012.5464,872.4533
61,847.2242,832.8835,697.4217,1030.5388,1020.9197,949.5511,731.5512,710.3409,586.2034,829.6021,819.4591,690.6256,1040.8876,1024.7748,924.9783
62,847.2242,829.8519,721.2608,1030.5388,1028.6038,954.6161,731.5512,717.6767,532.7775,829.6021,815.1387,678.5111,1040.8876,1029.5033,872.4533
63,847.2242,836.1432,712.9091,1030.5388,1029.4470,998.7139,731.5512,723.0102,604.0553,829.6021,824.0430,690.6256,1040.8876,1019.3238,872.4533
64,847.2242,835.9867,721.2608,1030.5388,1030.5388,1030.5388,731.5512,719.2258,548.0867,829.6021,811.1758,690.6256,1040.8876,1032.8719,936.7207
65,847.2242,838.1914,694.0044,1030.5388,1029.6203,1015.2314,731.5512,719.7894,548.0867,839.3022,821.1871,690.6256,1040.8876,1028.4538,913.5605
66,847.2242,836.6578,696.7959,1030.5388,1028.7704,972.7356,731.5512,711.7122,458.0179,839.3022,816.9909,675.5826,1040.8876,1025.9627,872.4533
67,847.2242,834.4904,721.2608,1030.5388,1028.3861,987.5909,731.5512,720.9252,602.9464,839.3022,805.2646,668.7692,1040.8876,1023.7969,887.8340
68,847.2242,838.6478,721.2608,1030.5388,1028.1382,959.8842,774.0553,716.1222,540.9222,839.3022,793.0426,675.5826,1040.8876,1029.4169,837.2499
69,847.2242,842.9915,721.2608,1030.5388,1027.0858,987.5909,774.0553,714.6618,548.0867,839.3022,794.0231,669.9731,1040.8876,1038.9102,942.0153
70,847.2242,825.6407,708.6166,1030.5388,1026.2948,981.8593,774.0553,719.6857,540.9222,861.7171,814.8872,683.9972,1040.8876,1039.0440,948.7083
71,847.2242,832.1804,698.2834,1030.5388,1027.7249,990.6145,774.0553,733.4467,540.9222,875.9196,837.4463,690.6256,1040.8876,1031.4758,942.0153
72,847.2242,827.8189,721.2608,1030.5388,1024.0772,948.1946,856.3994,737.2756,604.0553,875.9196,830.5218,675.5826,1040.8876,1033.4532,942.0153
73,847.2242,825.4564,694.5954,1030.5388,1027.5237,987.5909,856.3994,759.6584,604.0553,875.9196,838.1471,685.7557,1040.8876,1023.3167,779.4824
74,847.2242,832.8723,749.3006,1030.5388,1026.1589,932.8873,856.3994,795.0094,588.6061,893.7738,844.8875,700.7124,1040.8876,1027.6953,888.1991
75,887.2205,826.4075,673.4694,1030.5388,1027.7039,1011.7780,856.3994,814.3687,536.2102,893.7738,858.3792,716.1105,1040.8876,1027.6953,888.1991
76,887.2205,820.6061,718.2281,1030.5388,1022.5883,923.9178,856.3994,841.2783,639.8513,893.7738,859.8013,705.5993,1040.8876,1026.1364,822.8167
77,887.2205,842.3811,698.2834,1030.5388,1022.7312,929.9348,856.3994,845.4372,736.3714,893.7738,849.5733,689.8252,1040.8876,1025.2249,902.1546
78,887.2205,858.8149,721.2608,1033.4455,1025.8360,986.9285,856.3994,837.1709,607.6577,893.7738,858.1667,707.2394,1040.8876,1026.4535,924.9783
79,887.2205,869.5177,740.5279,1033.4455,1029.6062,1005.8050,886.4335,838.8826,658.9029,893.7738,875.0677,698.3434,1040.8876,1029.6092,872.4533
80,887.2205,878.1171,749.3006,1033.4455,1023.7387,965.4924,886.4335,836.7954,658.9029,893.7738,890.1472,851.4177,1040.8876,1016.3328,872.4533
81,887.2205,872.5364,563.8427,1033.4455,1021.8612,943.3717,886.4335,827.3741,635.2120,893.7738,876.7610,707.2394,1040.8876,1020.0829,890.3703
82,887.2205,867.9199,766.5916,1033.4455,1020.2955,938.2569,886.4335,818.4568,607.6577,893.7738,884.9156,686.1985,1040.8876,1028.2653,872.4533
83,887.2205,878.6800,750.5621,1033.4455,1015.6455,947.9745,886.4335,827.3710,656.1974,893.7738,885.0968,707.2394,1040.8876,1034.1106,942.0153
84,887.2205,872.7450,766.5916,1033.4455,1015.1116,880.5505,886.4335,839.3400,658.9029,902.1192,865.5961,657.0531,1040.8876,1031.2007,942.0153
85,887.2205,884.8079,766.5916,1033.4455,1011.8238,858.9097,886.4335,841.5466,658.9029,916.0054,867.4910,624.1589,1040.8876,1024.8702,906.3425
86,887.2205,879.9828,766.5916,1033.4455,1011.0897,855.5325,886.4335,843.4033,658.9029,916.0054,833.9062,599.0009,1040.8876,1024.0304,872.4533
87,887.2205,874.5049,766.5916,1033.4455,1012.7959,912.6760,886.4335,842.7103,658.9029,916.0054,842.4602,573.0300,1040.8876,1029.0175,872.4533
88,887.2205,877.8665,737.4125,1033.4455,1012.5568,945.5271,886.4335,847.4617,658.9029,916.0054,844.2086,563.7854,1040.8876,1023.8463,891.0852
89,887.2205,876.7137,714.7032,1033.4455,1015.6600,891.8098,886.4335,842.8285,658.9029,916.0054,844.4282,588.9262,1040.8876,1014.7317,835.7120
90,887.2205,864.6404,766.5916,1033.4455,1016.8968,909.4652,886.4335,847.6921,658.9029,916.0054,847.0556,624.1589,1040.8876,1024.8069,887.0257
91,887.2205,866.4805,737.9698,1033.4455,1009.9161,834.9015,886.4335,857.4473,658.9029,916.0054,894.2160,674.1114,1040.8876,1024.2139,835.7120
92,908.5115,883.4869,755.8828,1033.4455,993.2925,823.2290,886.4335,854.4270,658.9029,929.7196,891.1137,708.2814,1040.8876,1012.9491,709.9753
93,908.5115,878.8397,766.5916,1033.4455,999.7931,796.6510,886.4335,854.1861,658.9029,929.7196,893.2022,749.7548,1040.8876,1017.2707,872.4533
94,908.5115,866.4746,766.5916,1033.4455,1014.0925,949.3881,886.4335,845.3061,629.7825,929.7196,891.5655,739.0840,1040.8876,1014.6534,872.4533
95,908.5115,875.7957,766.5916,1033.4455,1017.7546,875.6392,886.4335,851.0581,618.0577,929.7196,894.8289,635.1756,1040.8876,1027.3540,942.0153
96,908.5115,885.5920,736.9536,1033.4455,1027.7929,965.4924,886.4335,844.7390,658.9029,929.7196,907.4218,721.9955,1040.8876,1026.2938,872.4533
97,908.5115,894.3331,810.5879,1033.4455,1023.5485,949.3881,886.4335,856.9695,658.9029,929.7196,904.2665,701.1602,1040.8876,1020.1194,764.5920
98,908.5115,890.7491,736.9536,1033.4455,1026.5998,940.1144,886.4335,847.6227,658.9029,929.7196,921.5911,795.5256,1040.8876,1027.6252,872.4533
99,908.5115,884.1961,769.9039,1033.4455,1019.6799,858.6862,886.4335,859.2542,658.9029,929.7196,912.1903,709.4316,1040.8876,1025.6220,872.4533
100,908.5115,888.2146,736.9536,1033.4455,1010.5759,763.5167,886.4335,853.0189,653.9501,929.7196,921.4941,744.2019,1040.8876,1018.2313,769.4235
101,908.5115,890.1911,736.9536,1033.4455,1012.2599,817.6871,886.4335,861.7738,705.5280,929.7196,923.4391,795.5256,1040.8876,1001.6124,693.1262
102,908.5115,882.2483,695.3662,1033.4455,1023.5840,904.3330,886.4335,856.7772,605.5275,929.7196,926.1079,815.1376,1040.8876,1011.7073,833.4186
103,908.5115,879.1290,644.2738,1033.4455,1018.6725,882.8305,886.4335,874.5037,658.9029,929.7196,918.9840,795.5256,1040.8876,1025.5072,872.4533
104,908.5115,871.7273,736.9536,1033.4455,1020.3447,885.7984,886.4335,870.2729,658.9029,929.7196,908.0186,710.8479,1040.8876,1024.8876,843.3944
105,908.5115,857.8559,649.2703,1033.4455,1022.0664,927.6289,886.4335,871.7988,618.9985,929.7196,902.4403,703.7444,1040.8876,1016.1344,872.4533
106,908.5115,873.3848,696.5390,1033.4455,1018.9785,861.3952,886.4335,858.8180,658.9029,929.7196,906.0389,719.0596,1040.8876,1026.3230,872.4533
107,908.5115,884.2976,736.9536,1033.4455,1024.7115,967.5993,886.4335,865.3165,658.9029,929.7196,896.8924,605.2526,1040.8876,1016.6195,872.4533
108,908.5115,865.4714,725.6319,1033.4455,1026.9414,926.1429,886.4335,869.4620,745.0043,929.7196,890.8242,629.2939,1087.6349,1029.9579,942.0153
109,908.5115,873.4871,541.2992,1033.4455,1028.5285,965.8014,886.4335,861.3816,745.0043,929.7196,911.3942,795.5256,1087.6349,1028.8870,770.4238
110,908.5115,878.8255,712.4879,1033.4455,1019.5075,881.0118,886.4335,873.7615,658.9029,929.7196,905.5847,679.5780,1087.6349,1036.3965,896.6169
111,927.2205,889.3009,810.5879,1033.4455,1016.2119,889.3896,886.4335,872.1535,738.1505,929.7196,904.6162,636.0152,1087.6349,1060.7497,872.4533
112,927.2205,887.9057,725.0470,1033.4455,1021.0640,869.1987,886.4335,870.9739,658.9029,929.7196,919.0807,700.5548,1087.6349,1043.2196,872.4533
113,927.2205,863.0664,736.9536,1033.4455,1012.5040,797.8178,886.4335,872.2906,745.0043,929.7196,927.0357,795.5256,1087.6349,1046.0341,896.6169
114,927.2205,891.2795,676.2682,1033.4455,1020.6765,886.5397,886.4335,874.8947,733.7816,929.7196,921.6679,795.5256,1087.6349,1063.3213,896.6169
115,927.2205,893.0831,645.8709,1033.4455,1024.0290,921.7902,886.4335,880.7763,745.0043,929.7196,916.3462,721.9955,1087.6349,1074.4321,982.5284
116,927.2205,889.7008,587.6330,1033.4455,1019.3186,965.8014,886.4335,879.7514,693.7590,929.7196,914.5269,708.0544,1087.6349,1061.5387,896.6169
117,927.2205,907.3619,632.7769,1033.4455,1024.4102,962.2048,886.4335,867.6549,700.2812,929.7196,916.3726,733.9606,1087.6349,1050.3687,884.5779
118,927.2205,911.2310,750.6885,1038.8690,1020.9123,947.6709,886.4335,872.2906,745.0043,929.7196,910.5786,695.4786,1087.6349,1071.2539,896.6169
119,927.2205,920.5243,815.6187,1038.8690,1015.2315,882.5734,886.4335,878.1986,745.0043,929.7196,916.6220,756.4400,1087.6349,1063.0798,807.1540
120,927.2205,923.6651,815.6187,1038.8690,1023.0110,936.3488,886.4335,860.1118,731.9871,929.7196,920.1730,720.7793,1087.6349,1052.3695,896.6169
121,927.2205,924.9884,815.6187,1038.8690,1022.9441,955.7579,886.4335,880.7763,745.0043,929.7196,896.1581,720.4208,1087.6349,1060.6257,856.4867
122,927.2205,915.1683,815.6187,1038.8690,1030.9945,969.7431,886.4335,860.2383,658.9029,929.7196,907.5005,793.4842,1087.6349,1071.2290,896.6169
123,927.2205,920.2270,802.0573,1038.8690,1034.3863,1005.8050,886.4335,868.9612,658.9029,929.7196,903.4443,721.9955,1087.6349,1077.2024,896.6169
124,927.2205,915.0324,750.6885,1038.8690,1036.0103,1011.2286,886.4335,850.3029,668.1124,929.7196,905.7515,679.3457,1087.6349,1069.8326,896.6169
125,927.2205,908.5398,777.4125,1038.8690,1036.3814,1011.2286,886.4335,843.6615,648.1585,929.7196,918.6421,721.9955,1087.6349,1047.5095,896.6169
126,927.2205,913.8282,815.6187,1038.8690,1035.8248,955.7579,886.4335,844.1030,658.9029,929.7196,896.7936,659.5845,1087.6349,1062.4993,935.9373
127,927.2205,911.5156,811.5866,1038.8690,1035.1811,1011.2286,886.4335,859.2542,658.9029,929.7196,905.5437,721.9955,1087.6349,1059.9188,889.4722
128,927.2205,912.2579,815.6187,1038.8690,1028.3587,938.1163,886.4335,845.9316,658.9029,929.7196,889.1964,709.0550,1087.6349,1044.1768,719.6405
129,936.2475,911.5987,806.7171,1038.8690,1033.6422,951.6216,898.9764,867.2896,745.0043,929.7196,908.8631,703.9721,1087.6349,1040.3581,803.8183
130,936.2475,922.0379,815.6187,1038.8690,1027.3939,947.4404,898.9764,873.2940,745.0043,929.7196,897.7697,695.9335,1087.6349,1059.9635,896.6169
131,936.2475,924.1352,815.6187,1038.8690,1026.9022,948.2487,898.9764,868.6025,671.4458,929.7196,905.6829,718.7988,1087.6349,1058.6920,891.2579
132,936.2475,926.8121,815.6187,1038.8690,1031.2999,960.1502,898.9764,871.2721,696.8849,929.7196,900.7901,585.3227,1087.6349,1045.0564,842.2584
133,942.8324,915.9723,717.5828,1038.8690,1027.9025,904.5916,898.9764,864.0466,662.0354,929.7196,888.9043,630.4365,1087.6349,1038.9072,840.9102
134,942.8324,904.1666,719.3010,1038.8690,1025.3514,907.1334,898.9764,867.8636,720.6278,929.7196,913.0111,795.5256,1087.6349,1040.7387,842.8530
135,942.8324,879.6203,601.3894,1038.8690,1026.6938,977.2335,898.9764,867.9074,658.9029,929.7196,888.6560,606.5945,1087.6349,1054.3085,896.6169
136,942.8324,880.9802,601.3894,1038.8690,1029.8519,965.4042,898.9764,866.5043,671.4458,929.7196,887.4081,702.4503,1087.6349,1032.9762,848.5446
137,942.8324,896.6975,585.5723,1038.8690,1028.7967,955.7579,898.9764,871.4552,642.1381,929.7196,882.6039,620.8877,1087.6349,1061.8667,880.5673
138,942.8324,896.4184,719.3010,1038.8690,1030.3968,890.7836,898.9764,873.6434,622.8251,929.7196,895.4098,630.4420,1087.6349,1046.8047,791.0429
139,942.8324,909.2484,733.6361,1038.8690,1031.3368,955.7579,898.9764,875.6727,671.4458,929.7196,889.6956,699.9126,1087.6349,1021.4817,839.3996
140,942.8324,937.3390,812.6867,1038.8690,1028.4937,912.1961,898.9764,876.3477,757.5472,929.7196,898.7837,630.4420,1087.6349,1056.5009,857.5822
141,942.8324,933.9929,784.2311,1038.8690,1029.8072,955.7579,898.9764,881.7275,757.5472,929.7196,882.6843,634.5243,1087.6349,1056.9409,889.4722
142,942.8324,933.3872,831.2306,1038.8690,1025.6961,913.0976,898.9764,882.0049,757.5472,929.7196,869.5051,703.9665,1087.6349,1064.2379,865.1362
143,942.8324,937.0992,822.7571,1038.8690,1027.8880,921.1989,898.9764,871.0959,757.5472,929.7196,888.2871,703.9721,1087.6349,1058.1355,896.6169
144,942.8324,919.9223,766.3005,1038.8690,1025.1011,954.2114,898.9764,878.5895,755.3069,929.7196,902.4347,669.7266,1087.6349,1049.7387,839.8765
145,942.8324,907.6988,648.3888,1038.8690,1030.1162,971.2250,898.9764,870.4525,729.8131,929.7196,873.2978,536.6894,1087.6349,1064.7056,896.6169
146,942.8324,901.0145,623.3322,1038.8690,1028.7849,912.1474,898.9764,875.6274,721.3128,929.7196,873.3842,641.9799,1087.6349,1059.5667,896.6169
