generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
70,626.1978,539.7434,348.1363,642.7328,578.0735,383.0801,660.7979,573.9223,342.0689,628.6169,537.9378,359.9987,673.0278,596.6345,420.8562
71,626.1978,544.3342,339.9100,642.7328,577.1487,368.2699,664.4057,573.5683,352.5189,628.6169,538.2954,344.7135,673.4326,603.3633,432.2905
72,626.1978,550.5245,359.7142,643.0518,579.7247,405.7259,664.4057,578.0055,326.1732,628.6169,535.0261,348.5812,673.4326,602.8329,435.1435
73,626.1978,551.0741,360.4481,643.6544,582.2192,399.2704,664.4057,577.3651,350.7452,628.6169,534.1959,332.1473,673.8334,604.5963,417.8471
74,626.1978,555.9332,381.0510,643.6544,582.9279,380.3645,664.4057,578.5276,357.2020,628.6169,527.5336,337.3705,674.1523,605.9191,423.0769
75,626.2044,561.9880,356.4962,643.6544,586.3943,418.5576,664.6217,584.3568,362.8615,629.1629,528.9243,329.6523,674.1523,608.7871,444.3755
76,626.2044,559.2177,356.8377,643.6544,590.9112,415.1044,664.6217,584.5271,369.2305,630.5806,530.1741,325.0384,676.1573,608.9829,422.8608
77,626.2044,555.0775,350.9549,643.6544,590.4179,404.2297,664.6217,586.9442,365.7111,630.5806,530.8077,333.5808,676.1573,607.6691,422.1311
78,626.2044,553.9207,343.6800,646.1502,590.5469,396.2592,664.6217,587.4578,363.3954,630.5806,530.1488,359.6278,676.1573,609.0530,430.5489
79,626.2044,555.7383,358.9282,646.3428,594.7697,406.3547,664.6217,589.5809,368.4660,630.7675,530.2564,335.8690,676.1573,610.3056,435.2953
80,626.5777,560.0575,374.9794,646.3428,593.5007,376.5109,664.6761,589.6343,366.3067,633.0999,534.1014,352.3602,677.3137,610.2138,435.7406
81,626.5777,560.5090,365.1427,646.3428,590.7170,398.2042,664.6761,592.0223,370.7128,633.2802,540.6885,349.1538,677.3137,608.8740,447.1080
82,626.8554,561.9228,331.2822,646.3428,594.2371,429.3005,664.6761,594.7731,376.9200,633.2802,540.0815,347.9959,677.3137,608.3917,445.0224
83,626.8554,557.2521,365.2479,646.3428,595.7137,421.8229,664.6761,598.6610,382.6049,633.2802,539.0065,335.8396,677.6327,609.6523,440.3179
84,627.5488,555.8026,348.6882,646.3428,593.9387,418.4185,665.1075,598.5929,401.7741,633.2802,543.6468,331.8515,677.6327,609.4238,444.5490
85,627.5488,551.6118,345.8559,646.3428,593.5774,415.5273,665.1075,596.7798,393.3963,633.6364,545.4682,335.7225,677.6327,609.7280,447.0487
86,627.5488,549.2580,338.0251,648.6752,591.9471,434.3700,665.5548,593.2442,371.0291,633.6364,552.7426,322.1230,677.6327,611.2775,428.7843
87,627.5488,545.0657,335.3411,648.6752,592.4897,411.0800,666.5035,593.3538,366.6490,633.6364,560.3846,346.4483,677.6327,605.4169,425.1631
88,627.5488,545.1445,351.4144,648.6752,588.7526,400.4542,666.5035,590.6624,380.0125,636.0773,563.8407,345.6680,677.6327,603.6054,423.1244
89,627.5488,548.2745,336.7420,648.9927,586.2181,368.2698,666.5035,586.1972,390.3492,636.0773,564.9734,365.3475,677.8196,603.3558,420.4026
90,627.5488,543.0990,349.2889,648.9927,582.9512,385.0840,667.4948,589.4174,350.8503,636.0773,568.1596,374.8383,677.8196,602.8845,421.4975
91,627.5488,543.6301,327.2234,648.9927,585.6719,401.3922,667.4948,587.6580,371.8894,636.3144,569.0282,363.6985,677.8196,599.8547,399.5666
92,628.6108,543.3231,330.5246,648.9927,586.9804,363.6929,667.4948,588.4030,380.0247,637.1659,562.8960,348.7522,677.8196,603.8515,408.8150
93,628.6108,543.4264,322.3570,648.9927,589.2063,382.8176,667.4948,589.6587,375.2085,637.1659,562.5449,359.7864,677.8196,601.2131,383.9416
94,628.6108,548.2063,336.5512,648.9927,580.9816,358.6183,670.0192,587.1353,348.0129,637.1659,562.3993,373.0075,677.8196,597.3400,418.7489
95,630.2432,549.0488,336.6413,648.9927,579.5882,389.7406,670.0192,581.8615,370.8878,637.1659,563.3165,374.2389,677.8196,596.7559,414.3397
96,630.2432,553.9784,353.7768,648.9927,578.8517,383.9316,670.0192,578.6856,334.0628,637.7467,558.2119,334.6774,678.1307,591.8579,409.6696
97,630.2432,552.1636,337.7945,648.9927,578.8060,387.1703,670.0736,583.1641,323.8146,637.7467,554.7984,346.7800,678.1307,591.8875,380.4021
98,630.2432,550.3150,344.0156,648.9927,578.4513,385.2688,670.0736,585.3456,351.1591,637.7467,546.6714,341.3780,678.1307,589.0723,411.8654
99,630.2432,551.5459,354.2847,648.9927,579.7943,378.7257,670.0736,586.4612,349.4312,637.7467,542.0803,333.1307,678.1307,594.1833,431.5295
100,633.0806,548.3597,343.5534,648.9927,581.3600,397.3990,670.0736,584.1090,340.4265,637.7467,538.1501,305.8236,678.1307,591.9539,413.7177
